station_id,last_contact,has_valid_data,last_error
Silverland,2026-03-02T05:01:28.042861+00:00,True,
SolweziUS,2026-03-02T08:57:02.672972+00:00,True,
StMagret Chipangali,2026-03-02T08:56:49.783461+00:00,False,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_stmagret chipangali  ', ...
                                 ^
"
Table2m,2026-03-02T07:25:17.687725+00:00,True,
TableDay,2026-03-02T06:16:38.848970+00:00,True,
TableHour,2026-03-02T07:01:54.240294+00:00,True,
Twingi Secondary School,2026-03-02T08:56:21.767430+00:00,True,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_twingi secondary school'...
                                 ^
"
Vubwi Day School,2026-03-02T08:57:11.804940+00:00,True,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_vubwi day school', 'time...
                                 ^
"
ZambeziMET,2026-03-02T08:01:04.088884+00:00,True,
ZimbaSS,2026-03-02T08:01:59.366639+00:00,True,
bzzw_d8jh_jvvr,2026-04-14T22:00:06.599470+00:00,True,
